,year,film,wiki,winner,box_office
94,1939,Mr. Smith Goes to Washington,/wiki/Mr._Smith_Goes_to_Washington,False,"{'Domestic': '$144,738', 'International': 'N/A', 'Worldwide': '$144,738'}"
93,1939,Love Affair ,/wiki/Love_Affair_(1939_film),False,"{'Domestic': '$18,272,894', 'International': 'N/A', 'Worldwide': '$18,272,894'}"
109,1940,The Philadelphia Story ,/wiki/The_Philadelphia_Story_(film),False,"{'Domestic': '$404,524', 'International': '$7,139', 'Worldwide': '$411,663'}"
100,1940,Rebecca ,/wiki/Rebecca_(1940_film),True,"{'Domestic': 'N/A', 'International': '$72,275', 'Worldwide': '$72,275'}"
101,1940,"All This, and Heaven Too","/wiki/All_This,_and_Heaven_Too",False,"{'Domestic': 'N/A', 'International': '$16,191,842', 'Worldwide': '$16,191,842'}"
102,1940,Foreign Correspondent ,/wiki/Foreign_Correspondent_(film),False,"{'Domestic': 'N/A', 'International': '$623', 'Worldwide': '$623'}"
103,1940,The Grapes of Wrath ,/wiki/The_Grapes_of_Wrath_(film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
104,1940,The Great Dictator,/wiki/The_Great_Dictator,False,"{'Domestic': 'N/A', 'International': '$970,263', 'Worldwide': '$970,263'}"
106,1940,The Letter ,/wiki/The_Letter_(1940_film),False,"{'Domestic': 'N/A', 'International': '$16,455', 'Worldwide': '$16,455'}"
107,1940,The Long Voyage Home,/wiki/The_Long_Voyage_Home,False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
108,1940,Our Town ,/wiki/Our_Town_(1940_film),False,"{'Domestic': 'N/A', 'International': '$2,643,251', 'Worldwide': '$2,643,251'}"
118,1941,Sergeant York ,/wiki/Sergeant_York_(film),False,"{'Domestic': '$16,361,885', 'International': '$3,039', 'Worldwide': '$16,364,924'}"
111,1941,Blossoms in the Dust,/wiki/Blossoms_in_the_Dust,False,"{'Domestic': '$727,639', 'International': 'N/A', 'Worldwide': '$727,639'}"
119,1941,Suspicion ,/wiki/Suspicion_(1941_film),False,"{'Domestic': 'N/A', 'International': '$269,915', 'Worldwide': '$269,915'}"
116,1941,The Maltese Falcon ,/wiki/The_Maltese_Falcon_(1941_film),False,"{'Domestic': '$18,180', 'International': '$16,511', 'Worldwide': '$34,691'}"
110,1941,How Green Was My Valley ,/wiki/How_Green_Was_My_Valley_(film),True,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
114,1941,Hold Back the Dawn,/wiki/Hold_Back_the_Dawn,False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
113,1941,Here Comes Mr. Jordan,/wiki/Here_Comes_Mr._Jordan,False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
112,1941,Citizen Kane,/wiki/Citizen_Kane,False,"{'Domestic': '$1,627,530', 'International': '$18,414', 'Worldwide': '$1,645,944'}"
115,1941,The Little Foxes ,/wiki/The_Little_Foxes_(film),False,"{'Domestic': 'N/A', 'International': '$4,583', 'Worldwide': '$4,583'}"
127,1942,The Talk of the Town ,/wiki/The_Talk_of_the_Town_(1942_film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
125,1942,The Pride of the Yankees,/wiki/The_Pride_of_the_Yankees,False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
123,1942,The Magnificent Ambersons ,/wiki/The_Magnificent_Ambersons_(film),False,"{'Domestic': '$93,432,655', 'International': '$68,927,981', 'Worldwide': '$162,360,636'}"
122,1942,Kings Row,/wiki/Kings_Row,False,"{'Domestic': '$49,591', 'International': 'N/A', 'Worldwide': '$49,591'}"
121,1942,49th Parallel ,/wiki/49th_Parallel_(film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
124,1942,The Pied Piper ,/wiki/The_Pied_Piper_(1942_film),False,"{'Domestic': 'N/A', 'International': '$5,546,500', 'Worldwide': '$5,546,500'}"
136,1943,The More the Merrier,/wiki/The_More_the_Merrier,False,"{'Domestic': 'N/A', 'International': '$247,061', 'Worldwide': '$247,061'}"
138,1943,The Song of Bernadette ,/wiki/The_Song_of_Bernadette_(film),False,"{'Domestic': '$857,522', 'International': '$3,370,512', 'Worldwide': '$4,228,034'}"
137,1943,The Ox-Bow Incident,/wiki/The_Ox-Bow_Incident,False,"{'Domestic': 'N/A', 'International': '$98,201', 'Worldwide': '$98,201'}"
135,1943,Madame Curie ,/wiki/Madame_Curie_(film),False,"{'Domestic': 'N/A', 'International': '$3,515,958', 'Worldwide': '$3,515,958'}"
130,1943,Casablanca ,/wiki/Casablanca_(film),True,"{'Domestic': '$4,219,709', 'International': '$406,823', 'Worldwide': '$4,626,532'}"
133,1943,The Human Comedy ,/wiki/The_Human_Comedy_(film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
132,1943,Heaven Can Wait ,/wiki/Heaven_Can_Wait_(1943_film),False,"{'Domestic': '$81,640,278', 'International': 'N/A', 'Worldwide': '$81,640,278'}"
131,1943,For Whom the Bell Tolls ,/wiki/For_Whom_the_Bell_Tolls_(film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
140,1944,Going My Way,/wiki/Going_My_Way,True,"{'Domestic': 'N/A', 'International': '$2,221', 'Worldwide': '$2,221'}"
141,1944,Double Indemnity,/wiki/Double_Indemnity,False,"{'Domestic': 'N/A', 'International': '$14,651', 'Worldwide': '$14,651'}"
142,1944,Gaslight ,/wiki/Gaslight_(1944_film),False,"{'Domestic': '$27,112,329', 'International': '$10,479,345', 'Worldwide': '$37,591,674'}"
144,1944,Wilson ,/wiki/Wilson_(1944_film),False,"{'Domestic': '$653,951', 'International': '$194,695', 'Worldwide': '$848,646'}"
149,1945,Spellbound ,/wiki/Spellbound_(1945_film),False,"{'Domestic': 'N/A', 'International': '$18,875,078', 'Worldwide': '$18,875,078'}"
148,1945,Mildred Pierce ,/wiki/Mildred_Pierce_(film),False,"{'Domestic': 'N/A', 'International': '$10,128', 'Worldwide': '$10,128'}"
147,1945,The Bells of St. Mary's,/wiki/The_Bells_of_St._Mary%27s,False,"{'Domestic': '$21,333,333', 'International': '$4,645', 'Worldwide': '$21,337,978'}"
146,1945,Anchors Aweigh ,/wiki/Anchors_Aweigh_(film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
145,1945,The Lost Weekend ,/wiki/The_Lost_Weekend_(film),True,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
150,1946,The Best Years of Our Lives,/wiki/The_Best_Years_of_Our_Lives,True,"{'Domestic': '$23,650,000', 'International': '$11,347', 'Worldwide': '$23,661,347'}"
151,1946,Henry V ,/wiki/Henry_V_(1944_film),False,"{'Domestic': '$10,161,099', 'International': 'N/A', 'Worldwide': '$10,161,099'}"
152,1946,It's a Wonderful Life,/wiki/It%27s_a_Wonderful_Life,False,"{'Domestic': '$1,483,643', 'International': '$7,090,438', 'Worldwide': '$8,574,081'}"
153,1946,The Razor's Edge ,/wiki/The_Razor%27s_Edge_(1946_film),False,"{'Domestic': '$6,551,987', 'International': 'N/A', 'Worldwide': '$6,551,987'}"
154,1946,The Yearling ,/wiki/The_Yearling_(1946_film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
156,1947,The Bishop's Wife,/wiki/The_Bishop%27s_Wife,False,"{'Domestic': 'N/A', 'International': '$16', 'Worldwide': '$16'}"
157,1947,Crossfire ,/wiki/Crossfire_(film),False,"{'Domestic': 'N/A', 'International': '$456,350', 'Worldwide': '$456,350'}"
158,1947,Great Expectations ,/wiki/Great_Expectations_(1946_film),False,"{'Domestic': '$26,420,672', 'International': '$29,073,394', 'Worldwide': '$55,494,066'}"
159,1947,Miracle on 34th Street,/wiki/Miracle_on_34th_Street,False,"{'Domestic': 'N/A', 'International': '$527', 'Worldwide': '$527'}"
163,1948,The Snake Pit,/wiki/The_Snake_Pit,False,"{'Domestic': '$560', 'International': 'N/A', 'Worldwide': '$560'}"
162,1948,The Red Shoes ,/wiki/The_Red_Shoes_(1948_film),False,"{'Domestic': 'N/A', 'International': '$30,846', 'Worldwide': '$30,846'}"
164,1948,The Treasure of the Sierra Madre ,/wiki/The_Treasure_of_the_Sierra_Madre_(film),False,"{'Domestic': '$5,014,000', 'International': 'N/A', 'Worldwide': '$5,014,000'}"
160,1948,Hamlet ,/wiki/Hamlet_(1948_film),True,"{'Domestic': '$4,708,156', 'International': '$1,580,074', 'Worldwide': '$6,288,230'}"
161,1948,Johnny Belinda ,/wiki/Johnny_Belinda_(1948_film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
165,1949,All the King's Men ,/wiki/All_the_King%27s_Men_(1949_film),True,"{'Domestic': '$7,221,458', 'International': '$2,230,165', 'Worldwide': '$9,451,623'}"
166,1949,Battleground ,/wiki/Battleground_(film),False,"{'Domestic': '$10,337', 'International': 'N/A', 'Worldwide': '$10,337'}"
167,1949,The Heiress,/wiki/The_Heiress,False,"{'Domestic': 'N/A', 'International': '$158', 'Worldwide': '$158'}"
168,1949,A Letter to Three Wives,/wiki/A_Letter_to_Three_Wives,False,"{'Domestic': 'N/A', 'International': '$14,768', 'Worldwide': '$14,768'}"
169,1949,Twelve O'Clock High,/wiki/Twelve_O%27Clock_High,False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
174,1950,Sunset Boulevard ,/wiki/Sunset_Boulevard_(film),False,"{'Domestic': '$299,645', 'International': '$428', 'Worldwide': '$300,073'}"
173,1950,King Solomon's Mines ,/wiki/King_Solomon%27s_Mines_(1950_film),False,"{'Domestic': '$15,057,465', 'International': 'N/A', 'Worldwide': '$15,057,465'}"
172,1950,Father of the Bride ,/wiki/Father_of_the_Bride_(1950_film),False,"{'Domestic': '$89,325,780', 'International': 'N/A', 'Worldwide': '$89,325,780'}"
170,1950,All About Eve,/wiki/All_About_Eve,True,"{'Domestic': '$63,463', 'International': '$87,589', 'Worldwide': '$151,052'}"
171,1950,Born Yesterday ,/wiki/Born_Yesterday_(1950_film),False,"{'Domestic': '$17,952,857', 'International': 'N/A', 'Worldwide': '$17,952,857'}"
175,1951,An American in Paris ,/wiki/An_American_in_Paris_(film),True,"{'Domestic': '$267,824', 'International': '$4,795', 'Worldwide': '$272,619'}"
176,1951,Decision Before Dawn,/wiki/Decision_Before_Dawn,False,"{'Domestic': 'N/A', 'International': '$608,881', 'Worldwide': '$608,881'}"
177,1951,A Place in the Sun ,/wiki/A_Place_in_the_Sun_(1951_film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
178,1951,Quo Vadis ,/wiki/Quo_Vadis_(1951_film),False,"{'Domestic': 'N/A', 'International': '$101,486', 'Worldwide': '$101,486'}"
179,1951,A Streetcar Named Desire ,/wiki/A_Streetcar_Named_Desire_(1951_film),False,"{'Domestic': 'N/A', 'International': '$49,523', 'Worldwide': '$49,523'}"
183,1952,Moulin Rouge ,/wiki/Moulin_Rouge_(1952_film),False,"{'Domestic': '$57,386,607', 'International': '$127,548,713', 'Worldwide': '$184,935,320'}"
182,1952,Ivanhoe ,/wiki/Ivanhoe_(1952_film),False,"{'Domestic': 'N/A', 'International': '$5,246', 'Worldwide': '$5,246'}"
184,1952,The Quiet Man,/wiki/The_Quiet_Man,False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
180,1952,The Greatest Show on Earth ,/wiki/The_Greatest_Show_on_Earth_(film),True,"{'Domestic': '$36,000,000', 'International': 'N/A', 'Worldwide': '$36,000,000'}"
181,1952,High Noon,/wiki/High_Noon,False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
185,1953,From Here to Eternity,/wiki/From_Here_to_Eternity,True,"{'Domestic': '$36,416', 'International': 'N/A', 'Worldwide': '$36,416'}"
186,1953,Julius Caesar ,/wiki/Julius_Caesar_(1953_film),False,"{'Domestic': 'N/A', 'International': '$10,831', 'Worldwide': '$10,831'}"
187,1953,The Robe ,/wiki/The_Robe_(film),False,"{'Domestic': '$36,000,000', 'International': '$10,866', 'Worldwide': '$36,010,866'}"
188,1953,Roman Holiday,/wiki/Roman_Holiday,False,"{'Domestic': 'N/A', 'International': '$6,607', 'Worldwide': '$6,607'}"
189,1953,Shane ,/wiki/Shane_(film),False,"{'Domestic': '$2,455', 'International': '$144,532', 'Worldwide': '$146,987'}"
194,1954,Three Coins in the Fountain ,/wiki/Three_Coins_in_the_Fountain_(film),False,"{'Domestic': '$46,808', 'International': 'N/A', 'Worldwide': '$46,808'}"
193,1954,Seven Brides for Seven Brothers,/wiki/Seven_Brides_for_Seven_Brothers,False,"{'Domestic': 'N/A', 'International': '$13,672', 'Worldwide': '$13,672'}"
190,1954,On the Waterfront,/wiki/On_the_Waterfront,True,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
191,1954,The Caine Mutiny ,/wiki/The_Caine_Mutiny_(film),False,"{'Domestic': '$21,750,000', 'International': 'N/A', 'Worldwide': '$21,750,000'}"
192,1954,The Country Girl ,/wiki/The_Country_Girl_(1954_film),False,"{'Domestic': '$65,705,771', 'International': '$32,299,895', 'Worldwide': '$98,005,666'}"
195,1955,Marty ,/wiki/Marty_(film),True,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
196,1955,Love Is a Many-Splendored Thing ,/wiki/Love_Is_a_Many-Splendored_Thing_(film),False,"{'Domestic': 'N/A', 'International': '$30,330', 'Worldwide': '$30,330'}"
197,1955,Mister Roberts ,/wiki/Mister_Roberts_(1955_film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
198,1955,Picnic ,/wiki/Picnic_(1955_film),False,"{'Domestic': 'N/A', 'International': '$4,534', 'Worldwide': '$4,534'}"
199,1955,The Rose Tattoo ,/wiki/The_Rose_Tattoo_(film),False,"{'Domestic': '$29,174,648', 'International': 'N/A', 'Worldwide': '$29,174,648'}"
203,1956,The King and I ,/wiki/The_King_and_I_(1956_film),False,"{'Domestic': '$21,300,000', 'International': '$415', 'Worldwide': '$21,300,415'}"
204,1956,The Ten Commandments ,/wiki/The_Ten_Commandments_(1956_film),False,"{'Domestic': '$65,500,000', 'International': 'N/A', 'Worldwide': '$65,500,000'}"
202,1956,Giant ,/wiki/Giant_(1956_film),False,"{'Domestic': '$32,855,818', 'International': 'N/A', 'Worldwide': '$32,855,818'}"
200,1956,Around the World in 80 Days ,/wiki/Around_the_World_in_80_Days_(1956_film),True,"{'Domestic': '$24,008,137', 'International': '$48,170,758', 'Worldwide': '$72,178,895'}"
205,1957,The Bridge on the River Kwai,/wiki/The_Bridge_on_the_River_Kwai,True,"{'Domestic': '$27,200,000', 'International': 'N/A', 'Worldwide': '$27,200,000'}"
