year,film,wiki,winner,rating,numVotes
1973,A Touch of Class ,/wiki/A_Touch_of_Class_(film),False,6.5,3301.0
1974,The Conversation,/wiki/The_Conversation,False,7.8,115409.0
1974,The Godfather Part II,/wiki/The_Godfather_Part_II,True,9.0,1296165.0
1974,Chinatown ,/wiki/Chinatown_(1974_film),False,8.2,334051.0
1974,Lenny ,/wiki/Lenny_(film),False,7.6,16725.0
1974,The Towering Inferno,/wiki/The_Towering_Inferno,False,7.0,45752.0
1975,Dog Day Afternoon,/wiki/Dog_Day_Afternoon,False,8.0,262946.0
1975,One Flew Over the Cuckoo's Nest ,/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film),True,8.7,1026771.0
1975,Nashville ,/wiki/Nashville_(film),False,7.7,26514.0
1975,Jaws ,/wiki/Jaws_(film),False,8.1,622190.0
1975,Barry Lyndon,/wiki/Barry_Lyndon,False,8.1,173059.0
1976,All the President's Men ,/wiki/All_the_President%27s_Men_(film),False,7.9,119851.0
1976,Bound for Glory ,/wiki/Bound_for_Glory_(1976_film),False,7.3,5384.0
1976,Network ,/wiki/Network_(1976_film),False,8.1,163186.0
1976,Rocky,/wiki/Rocky,True,8.1,595986.0
1976,Taxi Driver,/wiki/Taxi_Driver,False,8.2,859335.0
1977,Annie Hall,/wiki/Annie_Hall,True,8.0,269843.0
1977,The Goodbye Girl,/wiki/The_Goodbye_Girl,False,7.4,15259.0
1977,Julia ,/wiki/Julia_(1977_film),False,8.3,9121.0
1977,Star Wars ,/wiki/Star_Wars_(film),False,7.0,21045.0
1977,The Turning Point ,/wiki/The_Turning_Point_(1977_film),False,6.8,4878.0
1978,Coming Home ,/wiki/Coming_Home_(1978_film),False,7.3,14023.0
1978,Heaven Can Wait ,/wiki/Heaven_Can_Wait_(1978_film),False,6.9,22323.0
1978,The Deer Hunter,/wiki/The_Deer_Hunter,True,8.1,345782.0
1978,An Unmarried Woman,/wiki/An_Unmarried_Woman,False,7.1,5645.0
1978,Midnight Express ,/wiki/Midnight_Express_(film),False,7.5,83992.0
1979,Norma Rae,/wiki/Norma_Rae,False,7.3,12155.0
1979,All That Jazz ,/wiki/All_That_Jazz_(film),False,7.8,33356.0
1979,Breaking Away,/wiki/Breaking_Away,False,7.7,24433.0
1979,Kramer vs. Kramer,/wiki/Kramer_vs._Kramer,True,7.8,149059.0
1979,Apocalypse Now,/wiki/Apocalypse_Now,False,8.5,680101.0
1980,Coal Miner's Daughter ,/wiki/Coal_Miner%27s_Daughter_(film),False,7.5,19545.0
1980,The Elephant Man ,/wiki/The_Elephant_Man_(film),False,8.2,247328.0
1980,Tess ,/wiki/Tess_(1979_film),False,7.3,17441.0
1980,Raging Bull,/wiki/Raging_Bull,False,8.1,361798.0
1980,Ordinary People,/wiki/Ordinary_People,True,7.7,54202.0
1981,Atlantic City ,/wiki/Atlantic_City_(1980_film),False,7.3,17563.0
1981,On Golden Pond ,/wiki/On_Golden_Pond_(1981_film),False,7.6,32992.0
1981,Reds ,/wiki/Reds_(film),False,7.3,23693.0
1981,Chariots of Fire,/wiki/Chariots_of_Fire,True,7.1,63236.0
1981,Raiders of the Lost Ark,/wiki/Raiders_of_the_Lost_Ark,False,8.4,983092.0
1982,Tootsie,/wiki/Tootsie,False,7.4,110342.0
1982,Missing ,/wiki/Missing_(1982_film),False,7.1,28473.0
1982,The Verdict,/wiki/The_Verdict,False,7.7,42737.0
1982,Gandhi ,/wiki/Gandhi_(film),True,8.0,236045.0
1982,E.T. the Extra-Terrestrial,/wiki/E.T._the_Extra-Terrestrial,False,7.9,419529.0
1983,Terms of Endearment,/wiki/Terms_of_Endearment,True,7.4,62572.0
1983,Tender Mercies,/wiki/Tender_Mercies,False,7.3,11219.0
1983,The Big Chill ,/wiki/The_Big_Chill_(film),False,7.1,39246.0
1983,The Dresser ,/wiki/The_Dresser_(1983_film),False,7.5,5467.0
1983,The Right Stuff ,/wiki/The_Right_Stuff_(film),False,7.8,63106.0
1984,Amadeus ,/wiki/Amadeus_(film),True,8.4,409043.0
1984,The Killing Fields ,/wiki/The_Killing_Fields_(film),False,7.8,57137.0
