year,film,wiki,winner
1991,City Slickers,/wiki/City_Slickers,False
1991,The Commitments ,/wiki/The_Commitments_(film),False
1991,The Fisher King ,/wiki/The_Fisher_King_(film),False
1991,Fried Green Tomatoes ,/wiki/Fried_Green_Tomatoes_(film),False
1992,The Player ,/wiki/The_Player_(1992_film),True
1992,Aladdin ,/wiki/Aladdin_(1992_Disney_film),False
1992,Enchanted April ,/wiki/Enchanted_April_(1992_film),False
1992,Honeymoon in Vegas,/wiki/Honeymoon_in_Vegas,False
1992,Sister Act,/wiki/Sister_Act,False
1993,Mrs. Doubtfire,/wiki/Mrs._Doubtfire,True
1993,Dave ,/wiki/Dave_(film),False
1993,Much Ado About Nothing ,/wiki/Much_Ado_About_Nothing_(1993_film),False
1993,Sleepless in Seattle,/wiki/Sleepless_in_Seattle,False
1993,Strictly Ballroom,/wiki/Strictly_Ballroom,False
1994,The Lion King,/wiki/The_Lion_King,True
1994,"The Adventures of Priscilla, Queen of the Desert","/wiki/The_Adventures_of_Priscilla,_Queen_of_the_Desert",False
1994,Ed Wood ,/wiki/Ed_Wood_(film),False
1994,Four Weddings and a Funeral,/wiki/Four_Weddings_and_a_Funeral,False
1994,Prêt-à-Porter ,/wiki/Pr%C3%AAt-%C3%A0-Porter_(film),False
1995,Babe ,/wiki/Babe_(film),True
1995,The American President,/wiki/The_American_President,False
1995,Get Shorty ,/wiki/Get_Shorty_(film),False
1995,Sabrina ,/wiki/Sabrina_(1995_film),False
1995,Toy Story,/wiki/Toy_Story,False
1996,Evita ,/wiki/Evita_(1996_film),True
1996,The Birdcage,/wiki/The_Birdcage,False
1996,Everyone Says I Love You,/wiki/Everyone_Says_I_Love_You,False
1996,Fargo ,/wiki/Fargo_(1996_film),False
1996,Jerry Maguire,/wiki/Jerry_Maguire,False
1997,As Good as It Gets,/wiki/As_Good_as_It_Gets,True
1997,The Full Monty,/wiki/The_Full_Monty,False
1997,Men in Black ,/wiki/Men_in_Black_(1997_film),False
1997,My Best Friend's Wedding,/wiki/My_Best_Friend%27s_Wedding,False
1997,Wag the Dog,/wiki/Wag_the_Dog,False
1998,Shakespeare in Love,/wiki/Shakespeare_in_Love,True
1998,Bulworth,/wiki/Bulworth,False
1998,The Mask of Zorro,/wiki/The_Mask_of_Zorro,False
1998,Patch Adams ,/wiki/Patch_Adams_(film),False
1998,Still Crazy,/wiki/Still_Crazy,False
1998,There's Something About Mary,/wiki/There%27s_Something_About_Mary,False
1999,Toy Story 2,/wiki/Toy_Story_2,True
1999,Analyze This,/wiki/Analyze_This,False
1999,Being John Malkovich,/wiki/Being_John_Malkovich,False
1999,Man on the Moon ,/wiki/Man_on_the_Moon_(film),False
1999,Notting Hill ,/wiki/Notting_Hill_(film),False
2000,Almost Famous,/wiki/Almost_Famous,True
2000,Best in Show ,/wiki/Best_in_Show_(film),False
2000,Chicken Run,/wiki/Chicken_Run,False
2000,Chocolat ,/wiki/Chocolat_(2000_film),False
2000,"O Brother, Where Art Thou?","/wiki/O_Brother,_Where_Art_Thou%3F",False
2001,Moulin Rouge!,/wiki/Moulin_Rouge!,True
2001,Bridget Jones's Diary ,/wiki/Bridget_Jones%27s_Diary_(film),False
2001,Gosford Park,/wiki/Gosford_Park,False
2001,Legally Blonde,/wiki/Legally_Blonde,False
2001,Shrek,/wiki/Shrek,False
2002,Chicago ,/wiki/Chicago_(2002_film),True
2002,About a Boy ,/wiki/About_a_Boy_(film),False
2002,Adaptation ,/wiki/Adaptation_(film),False
2002,My Big Fat Greek Wedding,/wiki/My_Big_Fat_Greek_Wedding,False
2002,Nicholas Nickleby ,/wiki/Nicholas_Nickleby_(2002_film),False
2003,Lost in Translation ,/wiki/Lost_in_Translation_(film),True
2003,Bend It Like Beckham,/wiki/Bend_It_Like_Beckham,False
2003,Big Fish,/wiki/Big_Fish,False
2003,Finding Nemo,/wiki/Finding_Nemo,False
2003,Love Actually,/wiki/Love_Actually,False
2004,Sideways,/wiki/Sideways,True
2004,Eternal Sunshine of the Spotless Mind,/wiki/Eternal_Sunshine_of_the_Spotless_Mind,False
2004,The Incredibles,/wiki/The_Incredibles,False
2004,The Phantom of the Opera ,/wiki/The_Phantom_of_the_Opera_(2004_film),False
2004,Ray ,/wiki/Ray_(film),False
2005,Walk the Line,/wiki/Walk_the_Line,True
2005,Mrs Henderson Presents,/wiki/Mrs_Henderson_Presents,False
2005,Pride & Prejudice ,/wiki/Pride_%26_Prejudice_(2005_film),False
2005,The Producers ,/wiki/The_Producers_(2005_film),False
2005,The Squid and the Whale,/wiki/The_Squid_and_the_Whale,False
2006,Dreamgirls ,/wiki/Dreamgirls_(film),True
2006,Borat,/wiki/Borat,False
2006,The Devil Wears Prada ,/wiki/The_Devil_Wears_Prada_(film),False
2006,Little Miss Sunshine,/wiki/Little_Miss_Sunshine,False
2006,Thank You for Smoking ,/wiki/Thank_You_for_Smoking_(film),False
2007,Sweeney Todd: The Demon Barber of Fleet Street ,/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street_(2007_film),True
2007,Across the Universe ,/wiki/Across_the_Universe_(film),False
2007,Charlie Wilson's War ,/wiki/Charlie_Wilson%27s_War_(film),False
2007,Hairspray ,/wiki/Hairspray_(2007_film),False
2007,Juno ,/wiki/Juno_(film),False
2008,Vicky Cristina Barcelona,/wiki/Vicky_Cristina_Barcelona,True
2008,Burn After Reading,/wiki/Burn_After_Reading,False
2008,Happy-Go-Lucky ,/wiki/Happy-Go-Lucky_(2008_film),False
2008,In Bruges,/wiki/In_Bruges,False
2008,Mamma Mia! ,/wiki/Mamma_Mia!_(film),False
2009,The Hangover,/wiki/The_Hangover,True
2009,500 Days of Summer,/wiki/500_Days_of_Summer,False
2009,It's Complicated ,/wiki/It%27s_Complicated_(film),False
2009,Julie & Julia,/wiki/Julie_%26_Julia,False
2009,Nine ,/wiki/Nine_(2009_live-action_film),False
