year,film,wiki,winner
1988,Evil Angels ,/wiki/Evil_Angels_(film),False
1988,Gorillas in the Mist,/wiki/Gorillas_in_the_Mist,False
1988,Mississippi Burning,/wiki/Mississippi_Burning,False
1988,Running on Empty ,/wiki/Running_on_Empty_(1988_film),False
1988,The Unbearable Lightness of Being ,/wiki/The_Unbearable_Lightness_of_Being_(film),False
1989,Born on the Fourth of July ,/wiki/Born_on_the_Fourth_of_July_(film),True
1989,Crimes and Misdemeanors,/wiki/Crimes_and_Misdemeanors,False
1989,Dead Poets Society,/wiki/Dead_Poets_Society,False
1989,Do the Right Thing,/wiki/Do_the_Right_Thing,False
1989,Glory ,/wiki/Glory_(1989_film),False
1990,Dances with Wolves,/wiki/Dances_with_Wolves,True
1990,Avalon ,/wiki/Avalon_(1990_film),False
1990,The Godfather Part III,/wiki/The_Godfather_Part_III,False
1990,Goodfellas,/wiki/Goodfellas,False
1990,Reversal of Fortune,/wiki/Reversal_of_Fortune,False
1991,Bugsy,/wiki/Bugsy,True
1991,JFK ,/wiki/JFK_(film),False
1991,The Prince of Tides,/wiki/The_Prince_of_Tides,False
1991,The Silence of the Lambs ,/wiki/The_Silence_of_the_Lambs_(film),False
1991,Thelma & Louise,/wiki/Thelma_%26_Louise,False
1991,Scent of a Woman ,/wiki/Scent_of_a_Woman_(1992_film),True
1991,The Crying Game,/wiki/The_Crying_Game,False
1991,A Few Good Men,/wiki/A_Few_Good_Men,False
1991,Howards End ,/wiki/Howards_End_(film),False
1991,Unforgiven,/wiki/Unforgiven,False
1991,Schindler's List,/wiki/Schindler%27s_List,True
1991,The Age of Innocence ,/wiki/The_Age_of_Innocence_(1993_film),False
1991,In the Name of the Father ,/wiki/In_the_Name_of_the_Father_(film),False
1991,The Piano,/wiki/The_Piano,False
1991,The Remains of the Day ,/wiki/The_Remains_of_the_Day_(film),False
1994,Forrest Gump,/wiki/Forrest_Gump,True
1994,Legends of the Fall,/wiki/Legends_of_the_Fall,False
1994,Nell ,/wiki/Nell_(film),False
1994,Pulp Fiction,/wiki/Pulp_Fiction,False
1994,Quiz Show ,/wiki/Quiz_Show_(film),False
1995,Sense and Sensibility ,/wiki/Sense_and_Sensibility_(film),True
1995,Apollo 13 ,/wiki/Apollo_13_(film),False
1995,Braveheart,/wiki/Braveheart,False
1995,The Bridges of Madison County ,/wiki/The_Bridges_of_Madison_County_(film),False
1995,Leaving Las Vegas,/wiki/Leaving_Las_Vegas,False
1996,The English Patient ,/wiki/The_English_Patient_(film),True
1996,Breaking the Waves,/wiki/Breaking_the_Waves,False
1996,The People vs. Larry Flynt,/wiki/The_People_vs._Larry_Flynt,False
1996,Secrets & Lies ,/wiki/Secrets_%26_Lies_(film),False
1996,Shine ,/wiki/Shine_(film),False
1997,Titanic ,/wiki/Titanic_(1997_film),True
1997,Amistad ,/wiki/Amistad_(film),False
1997,The Boxer ,/wiki/The_Boxer_(1997_film),False
1997,Good Will Hunting,/wiki/Good_Will_Hunting,False
1997,L.A. Confidential ,/wiki/L.A._Confidential_(film),False
1998,Saving Private Ryan,/wiki/Saving_Private_Ryan,True
1998,Elizabeth ,/wiki/Elizabeth_(film),False
1998,Gods and Monsters ,/wiki/Gods_and_Monsters_(film),False
1998,The Horse Whisperer ,/wiki/The_Horse_Whisperer_(film),False
1998,The Truman Show,/wiki/The_Truman_Show,False
1999,American Beauty ,/wiki/American_Beauty_(1999_film),True
1999,The End of the Affair ,/wiki/The_End_of_the_Affair_(1999_film),False
1999,The Hurricane ,/wiki/The_Hurricane_(1999_film),False
1999,The Insider ,/wiki/The_Insider_(film),False
1999,The Talented Mr. Ripley ,/wiki/The_Talented_Mr._Ripley_(film),False
2000,Gladiator ,/wiki/Gladiator_(2000_film),True
2000,Billy Elliot,/wiki/Billy_Elliot,False
2000,Erin Brockovich ,/wiki/Erin_Brockovich_(film),False
2000,Sunshine ,/wiki/Sunshine_(1999_film),False
2000,Traffic ,/wiki/Traffic_(2000_film),False
2000,Wonder Boys ,/wiki/Wonder_Boys_(film),False
2001,A Beautiful Mind ,/wiki/A_Beautiful_Mind_(film),True
2001,In the Bedroom,/wiki/In_the_Bedroom,False
2001,The Lord of the Rings: The Fellowship of the Ring,/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,False
2001,The Man Who Wasn't There ,/wiki/The_Man_Who_Wasn%27t_There_(2001_film),False
2001,Mulholland Drive ,/wiki/Mulholland_Drive_(film),False
2002,The Hours ,/wiki/The_Hours_(film),True
2002,About Schmidt,/wiki/About_Schmidt,False
2002,Gangs of New York,/wiki/Gangs_of_New_York,False
2002,The Lord of the Rings: The Two Towers,/wiki/The_Lord_of_the_Rings:_The_Two_Towers,False
2002,The Pianist ,/wiki/The_Pianist_(2002_film),False
2003,The Lord of the Rings: The Return of the King,/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,True
2003,Cold Mountain ,/wiki/Cold_Mountain_(film),False
2003,Master and Commander: The Far Side of the World,/wiki/Master_and_Commander:_The_Far_Side_of_the_World,False
2003,Mystic River ,/wiki/Mystic_River_(film),False
2003,Seabiscuit ,/wiki/Seabiscuit_(film),False
2004,The Aviator ,/wiki/The_Aviator_(2004_film),True
2004,Closer ,/wiki/Closer_(2004_film),False
2004,Finding Neverland ,/wiki/Finding_Neverland_(film),False
2004,Hotel Rwanda,/wiki/Hotel_Rwanda,False
2004,Kinsey ,/wiki/Kinsey_(film),False
2004,Million Dollar Baby,/wiki/Million_Dollar_Baby,False
2005,Brokeback Mountain,/wiki/Brokeback_Mountain,True
2005,The Constant Gardener ,/wiki/The_Constant_Gardener_(film),False
2005,"Good Night, and Good Luck","/wiki/Good_Night,_and_Good_Luck",False
2005,A History of Violence,/wiki/A_History_of_Violence,False
2005,Match Point,/wiki/Match_Point,False
2006,Babel ,/wiki/Babel_(film),True
2006,Bobby ,/wiki/Bobby_(2006_film),False
2006,The Departed,/wiki/The_Departed,False
2006,Little Children ,/wiki/Little_Children_(film),False
2006,The Queen ,/wiki/The_Queen_(2006_film),False
2007,Atonement ,/wiki/Atonement_(2007_film),True
2007,American Gangster ,/wiki/American_Gangster_(film),False
2007,Eastern Promises,/wiki/Eastern_Promises,False
2007,The Great Debaters,/wiki/The_Great_Debaters,False
2007,Michael Clayton ,/wiki/Michael_Clayton_(film),False
2007,No Country for Old Men,/wiki/No_Country_for_Old_Men,False
2007,There Will Be Blood,/wiki/There_Will_Be_Blood,False
2008,Slumdog Millionaire,/wiki/Slumdog_Millionaire,True
2008,The Curious Case of Benjamin Button ,/wiki/The_Curious_Case_of_Benjamin_Button_(film),False
2008,Frost/Nixon ,/wiki/Frost/Nixon_(film),False
2008,The Reader ,/wiki/The_Reader_(2008_film),False
2008,Revolutionary Road ,/wiki/Revolutionary_Road_(film),False
2009,Avatar ,/wiki/Avatar_(2009_film),True
2009,The Hurt Locker,/wiki/The_Hurt_Locker,False
2009,Inglourious Basterds,/wiki/Inglourious_Basterds,False
2009,Precious ,/wiki/Precious_(film),False
2009,Up in the Air ,/wiki/Up_in_the_Air_(2009_film),False
2010,The Social Network,/wiki/The_Social_Network,True
2010,Black Swan ,/wiki/Black_Swan_(film),False
2010,The Fighter,/wiki/The_Fighter,False
