year,film,wiki,nominations
1998,Election Night,/wiki/Election_Night_(1998_film),1
1998,Elizabeth,/wiki/Elizabeth_(film),7
2007,Elizabeth: The Golden Age,/wiki/Elizabeth:_The_Golden_Age,2
1960,Elmer Gantry,/wiki/Elmer_Gantry_(film),5
1996,Emma,/wiki/Emma_(1996_theatrical_film),2
2021,Encanto,/wiki/Encanto,3
2000,Erin Brockovich,/wiki/Erin_Brockovich_(film),5
1934,Eskimo,/wiki/Eskimo_(1933_film),1
2004,Eternal Sunshine of the Spotless Mind,/wiki/Eternal_Sunshine_of_the_Spotless_Mind,2
1979,Every Child,/wiki/Every_Child_(film),1
2022,Everything Everywhere All at Once,/wiki/Everything_Everywhere_All_at_Once,11
1996,Evita,/wiki/Evita_(1996_film),5
2015,Ex Machina,/wiki/Ex_Machina_(film),2
1960,Exodus,/wiki/Exodus_(1960_film),3
1946,Facing Your Danger,/wiki/Facing_Your_Danger,1
1980,Fame,/wiki/Fame_(1980_film),6
1983,Fanny & Alexander,/wiki/Fanny_and_Alexander,6
1940,Fantasia,/wiki/Fantasia_(1940_film),0
2016,Fantastic Beasts and Where to Find Them,/wiki/Fantastic_Beasts_and_Where_to_Find_Them_(film),2
1966,Fantastic Voyage,/wiki/Fantastic_Voyage,5
1996,Fargo,/wiki/Fargo_(1996_film),7
1964,Father Goose,/wiki/Father_Goose_(film),3
2000,Father and Daughter,/wiki/Father_and_Daughter_(film),1
2014,Feast,/wiki/Feast_(2014_film),1
1963,Federico Fellini's 8½,/wiki/8%C2%BD,5
1976,Fellini's Casanova,/wiki/Fellini%27s_Casanova,2
2016,Fences,/wiki/Fences_(film),4
1938,Ferdinand the Bull,/wiki/Ferdinand_the_Bull_(film),1
1971,Fiddler on the Roof,/wiki/Fiddler_on_the_Roof_(film),8
2003,Finding Nemo,/wiki/Finding_Nemo,4
2004,Finding Neverland,/wiki/Finding_Neverland_(film),7
2018,First Man,/wiki/First_Man_(film),4
1947,First Steps,/wiki/First_Steps_(1947_film),1
1983,Flamenco at 5:15,/wiki/Flamenco_at_5:15,1
1983,Flashdance,/wiki/Flashdance,4
2017,Flesh and Sand,/wiki/Flesh_and_Sand,0
1931  /  32,Flowers and Trees,/wiki/Flowers_and_Trees,1
1935,Folies Bergere,/wiki/Folies_Berg%C3%A8re_de_Paris,1
1949,For Scent-imental Reasons,/wiki/For_Scent-imental_Reasons,1
1943,For Whom the Bell Tolls,/wiki/For_Whom_the_Bell_Tolls_(film),9
2001,For the Birds,/wiki/For_the_Birds_(film),1
1952,Forbidden Games,/wiki/Forbidden_Games,1
2019,Ford v Ferrari,/wiki/Ford_v_Ferrari,4
1994,Forrest Gump,/wiki/Forrest_Gump,13
1973,Frank Film,/wiki/Frank_Film,1
1994,Franz Kafka's It's a Wonderful Life,/wiki/Franz_Kafka%27s_It%27s_a_Wonderful_Life,1
2018,Free Solo,/wiki/Free_Solo,1
2007,Freeheld,/wiki/Freeheld_(2007_film),1
1945,Frenchman's Creek,/wiki/Frenchman%27s_Creek_(film),1
2002,Frida,/wiki/Frida_(film),6
1953,From Here to Eternity,/wiki/From_Here_to_Eternity,13
1980,From Mao to Mozart: Isaac Stern in China,/wiki/From_Mao_to_Mozart:_Isaac_Stern_in_China,1
2013,Frozen,/wiki/Frozen_(2013_film),2
1968,Funny Girl,/wiki/Funny_Girl_(film),8
1982,Gandhi,/wiki/Gandhi_(film),11
1944,Gaslight,/wiki/Gaslight_(1944_film),7
1954,Gate of Hell,/wiki/Gate_of_Hell_(film),1
1981,Genocide,/wiki/Genocide_(1981_film),1
1947,Gentleman's Agreement,/wiki/Gentleman%27s_Agreement,8
1950,Gerald McBoing-Boing,/wiki/Gerald_McBoing-Boing,1
1997,Geri's Game,/wiki/Geri%27s_Game,1
2017,Get Out,/wiki/Get_Out,4
1978,Get Out Your Handkerchiefs,/wiki/Get_Out_Your_Handkerchiefs,1
1990,Ghost,/wiki/Ghost_(1990_film),5
1956,Giant,/wiki/Giant_(1956_film),10
1958,Gigi,/wiki/Gigi_(1958_film),9
1999,"Girl, Interrupted","/wiki/Girl,_Interrupted_(film)",1
1960,Giuseppina,/wiki/Giuseppina,1
1936,Give Me Liberty,/wiki/Give_Me_Liberty_(1936_film),1
2000,Gladiator,/wiki/Gladiator_(2000_film),12
1959,Glass,/wiki/Glass_(1958_film),1
1989,Glory,/wiki/Glory_(1989_film),5
2010,God of Love,/wiki/God_of_Love_(film),1
1998,Gods and Monsters,/wiki/Gods_and_Monsters_(film),3
1944,Going My Way,/wiki/Going_My_Way,10
1935,Gold Diggers of 1935,/wiki/Gold_Diggers_of_1935,2
1964,Goldfinger,/wiki/Goldfinger_(film),1
1939,Gone with the Wind,/wiki/Gone_with_the_Wind_(film),13
1997,Good Will Hunting,/wiki/Good_Will_Hunting,9
1947,"Goodbye, Miss Turlock","/wiki/Goodbye,_Miss_Turlock",1
1939,"Goodbye, Mr. Chips","/wiki/Goodbye,_Mr._Chips_(1939_film)",7
1990,Goodfellas,/wiki/Goodfellas,6
2001,Gosford Park,/wiki/Gosford_Park,7
1958,Grand Canyon,/wiki/Grand_Canyon_(1958_film),1
1931  /  32,Grand Hotel,/wiki/Grand_Hotel_(1932_film),1
1966,Grand Prix,/wiki/Grand_Prix_(1966_film),3
1950,Grandad of Races,/wiki/Grandad_of_Races,1
2013,Gravity,/wiki/Gravity_(2013_film),10
1977,Gravity Is My Enemy,/wiki/Gravity_Is_My_Enemy,1
1975,Great,/wiki/Great_(1975_film),1
1947,Great Expectations,/wiki/Great_Expectations_(1946_film),5
2018,Green Book,/wiki/Green_Book_(film),5
1947,Green Dolphin Street,/wiki/Green_Dolphin_Street_(film),4
1967,Guess Who's Coming to Dinner,/wiki/Guess_Who%27s_Coming_to_Dinner,10
2022,Guillermo del Toro's Pinocchio,/wiki/Guillermo_del_Toro%27s_Pinocchio,1
2016,Hacksaw Ridge,/wiki/Hacksaw_Ridge,6
2019,Hair Love,/wiki/Hair_Love,1
1948,Hamlet,/wiki/Hamlet_(1948_film),7
1986,Hannah and Her Sisters,/wiki/Hannah_and_Her_Sisters,7
1962,Happy Anniversary,/wiki/Heureux_Anniversaire,1
2006,Happy Feet,/wiki/Happy_Feet,1
1976,"Harlan County, USA","/wiki/Harlan_County,_USA",1
1974,Harry and Tonto,/wiki/Harry_and_Tonto,2
1987,Harry and the Hendersons,/wiki/Harry_and_the_Hendersons,1
1950,Harvey,/wiki/Harvey_(1950_film),2
2003,Harvie Krumpet,/wiki/Harvie_Krumpet,1
1983,He Makes Me Feel Like Dancin',/wiki/He_Makes_Me_Feel_Like_Dancin%27,1
1974,Hearts and Minds,/wiki/Hearts_and_Minds_(film),1
1978,Heaven Can Wait,/wiki/Heaven_Can_Wait_(1978_film),9
2017,Heaven Is a Traffic Jam on the 405,/wiki/Heaven_Is_a_Traffic_Jam_on_the_405,1
1943,Heavenly Music,/wiki/Heavenly_Music,1
