,year,film,wiki,winner,rating,numVotes,worldwide_box_office,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,history,horror,music,musical,mystery,romance,sci-fi,sport,thriller,war,western,nominations,Oscar_win,nom_gg_drama,winner_gg_drama,nom_gg_comedy,winner_gg_comedy,nom_pga,winner_pga,nom_bafta,winner_bafta,nom_dga,winner_dga,nom_sag,winner_sag
86,1939,Wuthering Heights ,/wiki/Wuthering_Heights_(1939_film),False,7.5,18907.0,624643,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1940,Rebecca ,/wiki/Rebecca_(1940_film),True,6.0,44096.0,72275,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0
88,1940,"All This, and Heaven Too","/wiki/All_This,_and_Heaven_Too",False,7.4,5136.0,16191842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1940,Foreign Correspondent ,/wiki/Foreign_Correspondent_(film),False,7.4,22250.0,623,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1940,The Great Dictator,/wiki/The_Great_Dictator,False,8.4,228018.0,970263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1940,The Letter ,/wiki/The_Letter_(1940_film),False,7.5,13874.0,16455,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1940,Our Town ,/wiki/Our_Town_(1940_film),False,6.5,2782.0,2643251,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1940,The Philadelphia Story ,/wiki/The_Philadelphia_Story_(film),False,7.9,71352.0,411663,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1941,Blossoms in the Dust,/wiki/Blossoms_in_the_Dust,False,6.9,2164.0,727639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1941,Citizen Kane,/wiki/Citizen_Kane,False,8.3,449408.0,1645944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1941,The Little Foxes ,/wiki/The_Little_Foxes_(film),False,7.9,12487.0,4583,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
