,year,film,wiki,rating,numVotes,worldwide_box_office,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,game-show,history,horror,music,musical,mystery,news,reality-tv,romance,sci-fi,short,sport,talk-show,thriller,war,western
59,1939,Of Mice and Men ,/wiki/Of_Mice_and_Men_(1939_film),7.5,45096.0,"$5,471,088",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,1939,The Wizard of Oz ,/wiki/The_Wizard_of_Oz_(1939_film),8.1,409552.0,"$25,637,669",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,1939,Wuthering Heights ,/wiki/Wuthering_Heights_(1939_film),7.5,18907.0,"$624,643",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,1940,Rebecca ,/wiki/Rebecca_(1940_film),6.0,44096.0,"$72,275",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
63,1940,"All This, and Heaven Too","/wiki/All_This,_and_Heaven_Too",7.4,5136.0,"$16,191,842",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,1940,Foreign Correspondent ,/wiki/Foreign_Correspondent_(film),7.4,22250.0,$623,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
65,1940,The Great Dictator,/wiki/The_Great_Dictator,8.4,228018.0,"$970,263",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66,1940,The Letter ,/wiki/The_Letter_(1940_film),7.5,13874.0,"$16,455",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
67,1940,Our Town ,/wiki/Our_Town_(1940_film),6.5,2782.0,"$2,643,251",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
68,1940,The Philadelphia Story ,/wiki/The_Philadelphia_Story_(film),7.9,71352.0,"$411,663",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
