,year,film,wiki,winner,worldwide_box_office
179,1957,Witness for the Prosecution ,/wiki/Witness_for_the_Prosecution_(1957_film),False,"$7,693"
180,1958,Separate Tables ,/wiki/Separate_Tables_(film),False,N/A
181,1958,The Defiant Ones,/wiki/The_Defiant_Ones,False,"$358,399"
182,1958,Cat on a Hot Tin Roof ,/wiki/Cat_on_a_Hot_Tin_Roof_(1958_film),False,N/A
183,1958,Gigi ,/wiki/Gigi_(1958_film),True,N/A
184,1958,Auntie Mame ,/wiki/Auntie_Mame_(film),False,N/A
185,1959,Ben-Hur ,/wiki/Ben-Hur_(1959_film),True,"$74,437,720"
186,1959,Anatomy of a Murder,/wiki/Anatomy_of_a_Murder,False,$194
187,1959,The Diary of Anne Frank ,/wiki/The_Diary_of_Anne_Frank_(1959_film),False,"$3,068,263"
188,1959,The Nun's Story ,/wiki/The_Nun%27s_Story_(film),False,"$365,582,797"
189,1960,The Sundowners ,/wiki/The_Sundowners_(1960_film),False,N/A
190,1960,Sons and Lovers ,/wiki/Sons_and_Lovers_(film),False,"$414,351,546"
191,1960,The Alamo ,/wiki/The_Alamo_(1960_film),False,"$6,334"
192,1960,Elmer Gantry ,/wiki/Elmer_Gantry_(film),False,$64
193,1960,The Apartment,/wiki/The_Apartment,True,"$18,778,738"
194,1961,West Side Story ,/wiki/West_Side_Story_(1961_film),True,"$76,016,171"
195,1961,Fanny ,/wiki/Fanny_(1961_film),False,"$371,657"
196,1961,The Guns of Navarone ,/wiki/The_Guns_of_Navarone_(film),False,N/A
197,1961,The Hustler,/wiki/The_Hustler,False,N/A
198,1961,Judgment at Nuremberg,/wiki/Judgment_at_Nuremberg,False,"$12,180"
199,1962,Lawrence of Arabia ,/wiki/Lawrence_of_Arabia_(film),True,"$45,720,631"
200,1962,The Longest Day ,/wiki/The_Longest_Day_(film),False,N/A
201,1962,The Music Man ,/wiki/The_Music_Man_(1962_film),False,N/A
202,1962,Mutiny on the Bounty ,/wiki/Mutiny_on_the_Bounty_(1962_film),False,N/A
203,1962,To Kill a Mockingbird ,/wiki/To_Kill_a_Mockingbird_(film),False,"$599,146"
204,1963,How the West Was Won ,/wiki/How_the_West_Was_Won_(film),False,"$76,729"
205,1963,Lilies of the Field ,/wiki/Lilies_of_the_Field_(1963_film),False,"$2,476,539"
206,1963,America America,/wiki/America_America,False,"$370,569,774"
207,1963,Cleopatra ,/wiki/Cleopatra_(1963_film),False,"$57,777,778"
208,1964,My Fair Lady ,/wiki/My_Fair_Lady_(film),True,"$72,632,653"
209,1964,Becket ,/wiki/Becket_(1964_film),False,"$149,327"
210,1964,Dr. Strangelove,/wiki/Dr._Strangelove,False,"$9,523,464"
211,1964,Mary Poppins ,/wiki/Mary_Poppins_(film),False,"$103,082,380"
212,1964,Zorba the Greek ,/wiki/Zorba_the_Greek_(film),False,N/A
213,1965,The Sound of Music ,/wiki/The_Sound_of_Music_(film),True,"$159,437,744"
214,1965,Darling ,/wiki/Darling_(1965_film),False,"$87,609,403"
215,1965,Doctor Zhivago ,/wiki/Doctor_Zhivago_(film),False,"$111,922,142"
216,1965,Ship of Fools ,/wiki/Ship_of_Fools_(film),False,"$2,198,044"
217,1965,A Thousand Clowns,/wiki/A_Thousand_Clowns,False,"$3,427,211"
218,1966,The Sand Pebbles ,/wiki/The_Sand_Pebbles_(film),False,N/A
219,1966,Who's Afraid of Virginia Woolf? ,/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F_(film),False,"$28,005,068"
220,1966,"The Russians Are Coming, the Russians Are Coming","/wiki/The_Russians_Are_Coming,_the_Russians_Are_Coming",False,"$221,359"
221,1966,A Man for All Seasons ,/wiki/A_Man_for_All_Seasons_(1966_film),True,N/A
222,1966,Alfie ,/wiki/Alfie_(1966_film),False,"$35,060,882"
223,1967,The Graduate,/wiki/The_Graduate,False,"$105,015,008"
224,1967,Doctor Dolittle ,/wiki/Doctor_Dolittle_(1967_film),False,"$294,456,605"
225,1967,Guess Who's Coming to Dinner,/wiki/Guess_Who%27s_Coming_to_Dinner,False,"$56,666,667"
226,1967,In the Heat of the Night ,/wiki/In_the_Heat_of_the_Night_(film),True,"$27,669"
227,1967,Bonnie and Clyde ,/wiki/Bonnie_and_Clyde_(film),False,N/A
228,1968,Oliver! ,/wiki/Oliver!_(film),True,N/A
229,1968,Funny Girl ,/wiki/Funny_Girl_(film),False,"$52,224,636"
230,1968,The Lion in Winter ,/wiki/The_Lion_in_Winter_(1968_film),False,"$18,177"
231,1968,"Rachel, Rachel","/wiki/Rachel,_Rachel",False,"$9,200,168"
232,1968,Romeo and Juliet ,/wiki/Romeo_and_Juliet_(1968_film),False,"$6,292"
233,1969,"Hello, Dolly! ","/wiki/Hello,_Dolly!_(film)",False,"$400,881"
234,1969,Butch Cassidy and the Sundance Kid,/wiki/Butch_Cassidy_and_the_Sundance_Kid,False,"$102,311,293"
235,1969,Z ,/wiki/Z_(1969_film),False,"$49,209,277"
236,1969,Midnight Cowboy,/wiki/Midnight_Cowboy,True,"$44,801,177"
237,1969,Anne of the Thousand Days,/wiki/Anne_of_the_Thousand_Days,False,N/A
238,1970,Patton ,/wiki/Patton_(film),True,"$61,749,765"
239,1970,Airport ,/wiki/Airport_(1970_film),False,"$100,489,151"
240,1970,Five Easy Pieces,/wiki/Five_Easy_Pieces,False,N/A
241,1970,Love Story ,/wiki/Love_Story_(1970_film),False,"$106,550,690"
242,1970,M*A*S*H ,/wiki/M*A*S*H_(film),False,"$81,600,000"
243,1971,The French Connection ,/wiki/The_French_Connection_(film),True,"$51,700,666"
244,1971,A Clockwork Orange ,/wiki/A_Clockwork_Orange_(film),False,"$26,960,374"
245,1971,Fiddler on the Roof ,/wiki/Fiddler_on_the_Roof_(film),False,"$10,405,457"
246,1971,The Last Picture Show,/wiki/The_Last_Picture_Show,False,"$29,146,131"
247,1971,Nicholas and Alexandra,/wiki/Nicholas_and_Alexandra,False,"$1,323,126"
248,1972,Sounder ,/wiki/Sounder_(film),False,"$2,562,285"
249,1972,The Emigrants ,/wiki/The_Emigrants_(film),False,"$587,351"
250,1972,The Godfather,/wiki/The_Godfather,True,"$250,341,816"
251,1972,Cabaret ,/wiki/Cabaret_(1972_film),False,"$108,405"
252,1972,Deliverance,/wiki/Deliverance,False,"$4,534"
253,1973,The Sting,/wiki/The_Sting,True,"$156,000,000"
254,1973,American Graffiti,/wiki/American_Graffiti,False,"$115,000,889"
255,1973,Cries and Whispers,/wiki/Cries_and_Whispers,False,"$26,968"
256,1973,A Touch of Class ,/wiki/A_Touch_of_Class_(film),False,"$22,026,369"
257,1973,The Exorcist,/wiki/The_Exorcist,False,"$66,231,892"
258,1974,The Godfather Part II,/wiki/The_Godfather_Part_II,True,"$47,961,919"
259,1974,Chinatown ,/wiki/Chinatown_(1974_film),False,"$29,226,502"
260,1974,The Conversation,/wiki/The_Conversation,False,"$4,696,729"
261,1974,Lenny ,/wiki/Lenny_(film),False,N/A
262,1974,The Towering Inferno,/wiki/The_Towering_Inferno,False,"$116,000,000"
263,1975,Nashville ,/wiki/Nashville_(film),False,"$9,991,258"
264,1975,Dog Day Afternoon,/wiki/Dog_Day_Afternoon,False,"$50,000,000"
265,1975,Barry Lyndon,/wiki/Barry_Lyndon,False,"$234,077"
266,1975,One Flew Over the Cuckoo's Nest ,/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film),True,"$109,114,817"
267,1975,Jaws ,/wiki/Jaws_(film),False,"$476,512,065"
268,1976,Bound for Glory ,/wiki/Bound_for_Glory_(1976_film),False,"$10,173,682"
269,1976,Network ,/wiki/Network_(1976_film),False,"$23,690,757"
270,1976,Taxi Driver,/wiki/Taxi_Driver,False,"$28,573,323"
271,1976,Rocky,/wiki/Rocky,True,"$117,250,402"
272,1976,All the President's Men ,/wiki/All_the_President%27s_Men_(film),False,"$70,600,000"
273,1977,Annie Hall,/wiki/Annie_Hall,True,"$38,288,028"
274,1977,The Goodbye Girl,/wiki/The_Goodbye_Girl,False,"$98,005,666"
275,1977,Julia ,/wiki/Julia_(1977_film),False,"$20,714,400"
276,1977,Star Wars ,/wiki/Star_Wars_(film),False,"$775,398,007"
277,1977,The Turning Point ,/wiki/The_Turning_Point_(1977_film),False,"$25,933,445"
278,1978,Midnight Express ,/wiki/Midnight_Express_(film),False,"$35,000,000"
279,1978,An Unmarried Woman,/wiki/An_Unmarried_Woman,False,N/A
280,1978,Coming Home ,/wiki/Coming_Home_(1978_film),False,"$32,653,905"
281,1978,The Deer Hunter,/wiki/The_Deer_Hunter,True,"$49,074,379"
282,1978,Heaven Can Wait ,/wiki/Heaven_Can_Wait_(1978_film),False,"$81,640,278"
283,1979,Kramer vs. Kramer,/wiki/Kramer_vs._Kramer,True,"$106,260,000"
284,1979,All That Jazz ,/wiki/All_That_Jazz_(film),False,"$37,823,676"
285,1979,Apocalypse Now,/wiki/Apocalypse_Now,False,"$104,880,868"
286,1979,Breaking Away,/wiki/Breaking_Away,False,"$16,424,918"
287,1979,Norma Rae,/wiki/Norma_Rae,False,"$22,228,000"
288,1980,Ordinary People,/wiki/Ordinary_People,True,"$54,766,923"
289,1980,Coal Miner's Daughter ,/wiki/Coal_Miner%27s_Daughter_(film),False,"$67,182,787"
