,film,rating,numVotes
344,Platoon ,8.1,422633.0
345,Children of a Lesser God ,7.2,17827.0
346,Hannah and Her Sisters,7.8,73255.0
347,The Mission ,7.4,63216.0
348,A Room with a View ,7.2,45388.0
349,Hope and Glory ,7.3,13963.0
350,The Last Emperor,7.7,106875.0
351,Fatal Attraction,6.9,90756.0
352,Moonstruck,7.1,62814.0
353,Broadcast News ,7.2,32519.0
354,Rain Man,8.0,525305.0
355,The Accidental Tourist ,6.7,16744.0
356,Mississippi Burning,7.8,103970.0
357,Working Girl,6.8,59500.0
358,Dangerous Liaisons,7.6,72345.0
359,Born on the Fourth of July ,7.2,110794.0
360,Driving Miss Daisy,7.3,113308.0
361,Dead Poets Society,8.1,507205.0
362,Field of Dreams,7.5,122493.0
363,My Left Foot,8.0,46.0
364,Dances with Wolves,8.0,275168.0
365,Awakenings,7.8,148174.0
366,Ghost ,7.1,224994.0
367,Goodfellas,6.9,25.0
368,The Godfather Part III,7.6,406431.0
369,Bugsy,6.8,29959.0
370,JFK ,8.0,161615.0
371,Beauty and the Beast ,7.1,318261.0
372,The Silence of the Lambs ,8.6,1464229.0
373,The Prince of Tides,6.8,18785.0
374,Unforgiven,8.2,419562.0
375,The Crying Game,7.2,57503.0
376,A Few Good Men,7.7,272238.0
377,Scent of a Woman ,8.0,308964.0
378,Howards End ,7.4,34027.0
379,Schindler's List,9.0,1380337.0
380,The Piano,7.5,91080.0
381,The Fugitive ,7.8,304022.0
382,In the Name of the Father ,8.1,179554.0
383,The Remains of the Day ,7.8,78266.0
384,The Shawshank Redemption,9.3,2734155.0
385,Quiz Show ,7.5,71373.0
386,Forrest Gump,8.8,2127602.0
387,Four Weddings and a Funeral,7.1,158098.0
388,Pulp Fiction,8.9,2101050.0
389,Apollo 13 ,7.7,302775.0
390,Babe ,6.9,129210.0
391,Sense and Sensibility ,7.7,119907.0
392,Braveheart,8.4,1053011.0
393,The English Patient ,7.4,194708.0
394,Fargo ,8.9,382775.0
395,Shine ,7.6,55253.0
396,Jerry Maguire,7.3,274713.0
397,Titanic ,7.9,1217053.0
398,L.A. Confidential ,8.2,592245.0
399,Good Will Hunting,8.3,998916.0
400,The Full Monty,7.2,109248.0
401,As Good as It Gets,7.7,306485.0
402,Life Is Beautiful,6.4,898.0
403,Shakespeare in Love,7.1,228967.0
404,Elizabeth ,7.4,102061.0
405,The Thin Red Line ,7.6,192494.0
406,Saving Private Ryan,8.6,1418419.0
407,The Insider ,7.8,174681.0
408,The Green Mile ,8.6,1331825.0
409,The Cider House Rules ,7.4,102011.0
410,American Beauty ,8.3,1171981.0
411,The Sixth Sense,8.2,1008296.0
412,"Crouching Tiger, Hidden Dragon",8.0,1486.0
413,Chocolat ,7.3,195845.0
414,Erin Brockovich ,7.4,206398.0
415,Traffic ,7.6,212423.0
416,Gladiator ,8.5,1532742.0
417,Gosford Park,7.2,90392.0
418,A Beautiful Mind ,8.2,948735.0
419,In the Bedroom,7.4,40938.0
420,The Lord of the Rings: The Fellowship of the Ring,8.8,1909585.0
421,Moulin Rouge!,7.6,290703.0
422,The Hours ,7.5,134755.0
423,Gangs of New York,7.5,452792.0
424,The Lord of the Rings: The Two Towers,8.8,1697780.0
425,The Pianist ,8.5,853771.0
426,Chicago ,8.0,59923.0
427,Seabiscuit ,7.3,74983.0
428,Mystic River ,7.9,466921.0
429,Lost in Translation ,7.7,466486.0
430,Master and Commander: The Far Side of the World,7.4,227829.0
431,The Lord of the Rings: The Return of the King,9.0,1880701.0
432,Ray ,8.3,89664.0
433,Sideways,7.5,195732.0
434,The Aviator ,7.5,370586.0
435,Finding Neverland ,7.7,208829.0
436,Million Dollar Baby,8.1,698263.0
437,Munich ,7.5,231817.0
438,"Good Night, and Good Luck",7.4,99444.0
439,Crash ,6.4,63233.0
440,Capote ,7.3,136266.0
441,Brokeback Mountain,7.7,366493.0
442,The Departed,8.5,1351191.0
443,Little Miss Sunshine,7.8,493690.0
444,Babel ,7.5,308766.0
445,The Queen ,8.6,487015.0
446,Letters from Iwo Jima,7.9,165887.0
447,There Will Be Blood,8.2,600122.0
448,No Country for Old Men,8.2,997439.0
449,Atonement ,7.8,286842.0
450,Juno ,7.5,532244.0
451,Michael Clayton ,7.2,169507.0
452,The Curious Case of Benjamin Button ,7.8,666645.0
453,Frost/Nixon ,7.7,110097.0
454,The Reader ,7.6,251339.0
455,Slumdog Millionaire,8.0,857226.0
456,Milk ,7.5,176098.0
457,The Blind Side ,7.6,343450.0
458,Avatar ,7.7,376925.0
459,The Hurt Locker,7.5,460137.0
460,District 9,7.9,693223.0
461,An Education,7.3,136065.0
462,Inglourious Basterds,8.3,1485428.0
463,A Serious Man,7.0,145663.0
464,Up in the Air ,7.4,341623.0
465,Up ,8.3,1066883.0
466,Precious ,7.3,113275.0
467,The Fighter,7.8,376098.0
468,Inception,8.8,2403153.0
469,127 Hours,7.5,385614.0
470,Winter's Bone,7.1,145733.0
471,The King's Speech,8.0,690511.0
472,The Social Network,7.8,720689.0
473,Toy Story 3,8.3,852115.0
474,Black Swan ,8.0,787178.0
475,True Grit ,7.6,346416.0
476,The Kids Are All Right ,7.0,132207.0
477,The Artist ,7.9,244636.0
478,Extremely Loud & Incredibly Close ,6.9,103510.0
479,The Help ,8.1,471448.0
480,Hugo ,7.5,328364.0
481,Moneyball ,7.6,438146.0
482,The Tree of Life ,6.8,180237.0
483,War Horse ,7.2,161086.0
484,Midnight in Paris,7.7,433605.0
485,The Descendants,7.3,245160.0
486,Les Misérables ,7.5,336046.0
487,Amour ,7.6,5848.0
488,Beasts of the Southern Wild,7.2,84059.0
489,Django Unchained,8.4,1592500.0
490,Silver Linings Playbook,7.7,720058.0
491,Life of Pi ,7.9,644279.0
492,Zero Dark Thirty,7.4,308187.0
493,Lincoln ,7.3,265354.0
494,Argo ,7.7,624042.0
495,Dallas Buyers Club,7.9,498957.0
496,American Hustle,7.2,487634.0
497,Her ,8.0,634291.0
498,The Wolf of Wall Street ,8.2,1458210.0
499,Philomena ,7.6,101853.0
500,Nebraska ,7.7,120183.0
501,Gravity ,7.7,839661.0
502,Captain Phillips ,7.8,472252.0
503,12 Years a Slave ,8.1,714599.0
504,Selma ,7.5,93187.0
505,Boyhood ,7.9,359742.0
506,Whiplash ,8.5,900884.0
507,The Theory of Everything ,7.7,462950.0
508,Birdman ,7.7,644522.0
509,The Grand Budapest Hotel,8.1,834412.0
510,American Sniper,7.3,500701.0
511,The Imitation Game,8.0,786691.0
512,Spotlight ,8.1,481249.0
513,Mad Max: Fury Road,8.1,1025879.0
514,The Big Short ,7.8,445748.0
515,Bridge of Spies ,7.6,317865.0
516,Brooklyn ,8.4,331758.0
517,The Martian ,8.0,877293.0
518,The Revenant ,8.0,826071.0
519,Room ,8.1,430907.0
520,Moonlight ,7.4,317509.0
521,Arrival ,7.9,716903.0
522,Fences ,7.2,111985.0
523,Hell or High Water ,7.6,238437.0
524,Lion ,8.0,242287.0
525,Manchester by the Sea ,7.8,292956.0
526,Hacksaw Ridge,8.1,546213.0
527,Hidden Figures,7.8,239571.0
528,La La Land,8.0,612272.0
529,Call Me by Your Name ,7.8,287315.0
530,Darkest Hour ,7.4,208954.0
531,"Three Billboards Outside Ebbing, Missouri",8.1,523880.0
532,Phantom Thread,7.4,137552.0
533,Get Out,7.7,636853.0
534,The Shape of Water,7.3,430989.0
535,Dunkirk ,7.8,680423.0
536,Lady Bird ,7.4,303288.0
537,The Post ,7.2,156014.0
538,Roma ,7.7,163385.0
539,A Star Is Born ,7.6,396752.0
540,Green Book ,8.2,516910.0
541,Black Panther ,6.7,264664.0
542,Bohemian Rhapsody ,7.9,554739.0
543,BlacKkKlansman,7.5,272849.0
544,The Favourite,7.5,207297.0
545,Vice ,7.2,153327.0
546,1917 ,8.2,618335.0
547,Little Women ,7.8,218222.0
548,Ford v Ferrari,8.1,414412.0
549,Parasite ,8.5,850243.0
550,The Irishman,7.8,401561.0
551,Once Upon a Time in Hollywood,8.2,52.0
552,Marriage Story,7.9,322955.0
553,Jojo Rabbit,7.9,407660.0
554,Joker ,8.4,1348529.0
555,Nomadland ,7.3,169978.0
556,The Father ,8.2,167233.0
557,Minari ,7.4,86740.0
558,Sound of Metal,7.7,135976.0
559,Promising Young Woman,7.5,186173.0
560,Mank,6.8,78058.0
561,Judas and the Black Messiah,7.4,84927.0
562,The Trial of the Chicago 7,7.7,183226.0
563,Drive My Car ,7.6,57108.0
564,Don't Look Up,7.2,555062.0
565,Licorice Pizza,7.2,126385.0
566,King Richard ,7.5,121695.0
567,CODA ,8.0,145243.0
568,Nightmare Alley ,7.0,152429.0
569,The Power of the Dog ,6.8,182145.0
570,West Side Story ,7.2,88103.0
571,Dune ,8.0,671939.0
572,Belfast ,7.3,80495.0
573,All Quiet on the Western Front ,8.1,65386.0
574,Top Gun: Maverick,8.3,577408.0
575,Elvis ,7.3,207142.0
576,Everything Everywhere All at Once,7.9,437015.0
577,Avatar: The Way of Water,7.7,369719.0
578,The Banshees of Inisherin,7.7,202400.0
579,The Fabelmans,7.6,85709.0
580,Tár,7.5,69684.0
581,Triangle of Sadness,7.3,128812.0
582,Women Talking ,6.9,29341.0
