year,film,wiki,genres
1957,Sayonara,/wiki/Sayonara,"comedy,drama,family"
1957,Witness for the Prosecution ,/wiki/Witness_for_the_Prosecution_(1957_film),"crime,drama,mystery,thriller"
1958,Gigi ,/wiki/Gigi_(1958_film),"comedy,musical,romance"
1958,Auntie Mame ,/wiki/Auntie_Mame_(film),"comedy,drama,romance"
1958,Cat on a Hot Tin Roof ,/wiki/Cat_on_a_Hot_Tin_Roof_(1958_film),drama
1958,The Defiant Ones,/wiki/The_Defiant_Ones,"action,adventure,comedy"
1958,Separate Tables ,/wiki/Separate_Tables_(film),"drama,romance"
1959,Ben-Hur ,/wiki/Ben-Hur_(1959_film),"adventure,drama"
1959,Anatomy of a Murder,/wiki/Anatomy_of_a_Murder,"comedy,crime,drama"
1959,The Diary of Anne Frank ,/wiki/The_Diary_of_Anne_Frank_(1959_film),drama
1959,The Nun's Story ,/wiki/The_Nun%27s_Story_(film),"horror,mystery,thriller"
1960,The Apartment,/wiki/The_Apartment,"comedy,documentary,short"
1960,The Alamo ,/wiki/The_Alamo_(1960_film),"adventure,drama,history,war,western"
1960,Elmer Gantry ,/wiki/Elmer_Gantry_(film),drama
1960,Sons and Lovers ,/wiki/Sons_and_Lovers_(film),"action,adventure,comedy,thriller"
1960,The Sundowners ,/wiki/The_Sundowners_(1960_film),drama
1961,West Side Story ,/wiki/West_Side_Story_(1961_film),"crime,drama,musical,romance"
1961,Fanny ,/wiki/Fanny_(1961_film),drama
1961,The Guns of Navarone ,/wiki/The_Guns_of_Navarone_(film),"action,adventure,drama,war"
1961,The Hustler,/wiki/The_Hustler,"comedy,drama,family"
1961,Judgment at Nuremberg,/wiki/Judgment_at_Nuremberg,"comedy,crime,drama"
1962,Lawrence of Arabia ,/wiki/Lawrence_of_Arabia_(film),"adventure,biography,drama,war"
1962,The Longest Day ,/wiki/The_Longest_Day_(film),"action,drama,history,war"
1962,The Music Man ,/wiki/The_Music_Man_(1962_film),"comedy,family,musical,romance"
1962,Mutiny on the Bounty ,/wiki/Mutiny_on_the_Bounty_(1962_film),"adventure,drama,history,romance"
1962,To Kill a Mockingbird ,/wiki/To_Kill_a_Mockingbird_(film),"crime,drama"
1963,America America,/wiki/America_America,"action,crime,drama"
1963,Cleopatra ,/wiki/Cleopatra_(1963_film),"biography,drama,history,romance"
1963,How the West Was Won ,/wiki/How_the_West_Was_Won_(film),western
1963,Lilies of the Field ,/wiki/Lilies_of_the_Field_(1963_film),"comedy,drama"
1964,My Fair Lady ,/wiki/My_Fair_Lady_(film),"drama,family,musical,romance"
1964,Becket ,/wiki/Becket_(1964_film),"biography,drama,history"
1964,Dr. Strangelove,/wiki/Dr._Strangelove,"comedy,crime,drama"
1964,Mary Poppins ,/wiki/Mary_Poppins_(film),"comedy,family,fantasy,musical"
1964,Zorba the Greek ,/wiki/Zorba_the_Greek_(film),"comedy,drama"
